avg_vol_3month,c_level,company_name,e_score,ebitda,employees,enterprise_value,fifty_day_moving_avg,forward_pe,g_score,held_by_insiders,held_by_institutions,hq,industry,market_cap,peg_ratio,profit_margin,return_on_assets,return_on_equity,revenue,s_score,sector,ticker_name,tot_cash,tot_debt,tot_esg_score,trailing_pe,twohundred_day_moving_avg
291.23k,,Hutchison China MediTech Limited,,-141.44M,853,3.67B,26.04, ,,6.60%,30.65%,Cheung Kong Center 48th Floor 2 Queen's Road,Biotechnology,3.85B, ,-51.75%,-18.35%,-28.60%,204.89M,,Healthcare,HCM,219.7M,34.03M,, ,23.40
47.01k,,"Huttig Building Products, Inc.",,6.9M,"1,364",221.75M,1.2509, ,,20.74%,44.65%,555 Maryville University Drive Suite 400,Industrial Distribution,33.35M, ,-3.30%,0.24%,-57.75%,817.6M,,Industrials,HBP,400k,188.8M,, ,1.1653
846,,"HV Bancorp, Inc.",,N/A,101, ,12.64, ,,20.35%,20.72%,2005 South Easton Road Suite 304,Banks—Regional,29.20M, ,6.99%,N/A,N/A,16.7M,,Financial Services,HVBC,24.02M,39.07M,,25.51,13.35
17.21k,,Hycroft Mining Holding Corporation,,-36.86M,202, ,9.88, ,,N/A,N/A,8181 East Tufts Avenue Suite 510,Other Precious Metals & Mining,, ,0.00%,N/A,N/A,24.83M,,Basic Materials,HYMC,7.11M,595.38M,, ,10.08
262.11k,,HyreCar Inc.,,-15.04M,86,46.76M,2.8468,20.83,,31.73%,33.86%,355 South Grand Avenue Suite 1650,Rental & Leasing Services,54.58M, ,-82.09%,-121.42%,-368.14%,18.12M,,Industrials,HYRE,7.82M,N/A,, ,2.4922
155.75k,,"i3 Verticals, Inc.",,27.4M,542,874.88M,29.00,19.92,,0.76%,97.69%,40 Burton Hills Boulevard Suite 415,Software—Infrastructure,753.24M, ,-0.54%,2.65%,2.34%,286.33M,,Technology,IIIV,1.59M,123.23M,, ,26.86
3.4M,2,"IAC Holdings, Inc.",3.2,42.44M,"6,795",8.83B,105.82, ,9.8,1.23%,97.65%,"555 West 18Th Street New York, NY 10011",Internet Content & Information,10.68B, ,-10.59%,N/A,N/A,2.75B,15.2,Communication Services,IAC,2.1B,242.39M,28, ,74.46
344.57k,,"iCAD, Inc.",,-8.6M,135,224.67M,10.35, ,,10.23%,28.59%,98 Spit Brook Road Suite 100,Health Information Services,229.45M, ,-69.56%,-16.29%,-220.33%,31.12M,,Healthcare,ICAD,14.26M,9.47M,, ,10.28
121.76k,,Icahn Enterprises L.P.,,-2.64B,"28,033",8.29B,49.06,28.82,,0.00%,96.72%,767 Fifth Avenue Suite 4700,Conglomerates,10.64B, ,-29.91%,-8.19%,-32.28%,6.84B,,Industrials,IEP,2.38B,8.86B,, ,53.78
776,,"ICC Holdings, Inc.",,3.12M,99,38.26M,11.56, ,,57.45%,32.43%,"225 20th Street Rock Island, IL 61201",Insurance—Specialty,37.79M, ,3.70%,0.90%,3.30%,54.85M,,Financial Services,ICCH,9.01M,9.47M,,17.07,11.80
142.93k,,"ICF International, Inc.",,126.09M,"7,000",1.85B,63.75,18.08,,4.11%,95.38%,"9300/9302 Lee Highway Fairfax, VA 22031",Consulting Services,1.23B,1.87,4.30%,3.98%,9.49%,1.5B,,Industrials,ICFI,58.66M,691.48M,,19.51,71.68
279.81k,,"Ichor Holdings, Ltd.",,41.04M,"1,355",807.52M,26.23,16.89,,3.40%,94.82%,"3185 Laurelview Court Fremont, CA 94538",Semiconductor Equipment & Materials,654.60M, ,1.79%,2.20%,5.85%,703.03M,,Technology,ICHR,41.58M,194.5M,,52.18,26.49
671.65k,,iClick Interactive Asia Group Limited,,-5.9M,884,493.77M,5.49,303.03,,0.00%,1.59%,Prosperity Millennia Plaza 15th Floor 663 King's Road,Advertising Agencies,498.94M, ,-7.27%,-2.76%,-13.38%,209.22M,,Communication Services,ICLK,21.8M,48.84M,, ,4.67
250.14k,,ICON Public Limited Company,,470.21M,"15,150",9.33B,170.47,31.45,,1.40%,97.21%,South County Business Park Leopardstown,Diagnostics & Research,9.93B,3.40,12.03%,N/A,N/A,2.77B,,Healthcare,ICLR,484.1M,449.34M,,31.56,161.06
533.34k,,"Iconix Brand Group, Inc.",,64.14M,118,606.69M,1.0450,3.71,,13.89%,8.53%,1450 Broadway 3rd Floor,Apparel Manufacturing,12.10M, ,-107.06%,7.18%,N/A,140.99M,,Consumer Cyclical,ICON,40.39M,644.71M,, ,1.0362
161.79k,,"ICU Medical, Inc.",,229.89M,"8,000",3.79B,184.14,31.25,,7.10%,96.42%,"951 Calle Amanecer San Clemente, CA 92673",Medical Instruments & Supplies,4.03B,7.06,6.87%,5.51%,6.53%,1.26B,,Healthcare,ICUI,440.99M,203.5M,,48.01,194.84
115.48k,,Ideal Power Inc.,,-3.25M,5,14.76M,5.97, ,,24.23%,2.72%,4120 Freidrich Lane Suite 100,Electrical Equipment & Parts,16.75M, ,0.00%,-44.06%,-101.61%,N/A,,Industrials,IPWR,2.22M,221.83k,, ,3.13
33.57M,,"Ideanomics, Inc.",,-16.26M,60,248.34M,1.6041, ,,24.17%,5.96%,55 Broadway 19th Floor,Software—Application,226.66M, ,0.00%,-8.96%,-202.37%,18M,,Technology,IDEX,5.91M,28.18M,,18.50,0.8346
288.91k,,"IDEAYA Biosciences, Inc.",,-45.37M,43,279.16M,12.90,5.37,,26.03%,52.74%,7000 Shoreline Court Suite 350,Biotechnology,360.52M, ,0.00%,-29.99%,-52.47%,N/A,,Healthcare,IDYA,87.86M,6.5M,, ,8.18
127.79k,,"Identiv, Inc.",,2.53M,289,88.04M,5.05,94.34,,5.19%,34.47%,2201 Walnut Avenue Suite 100,Computer Hardware,92.44M, ,-2.89%,-0.68%,-6.99%,82.35M,,Technology,INVE,8.7M,22.05M,, ,4.41
345.14k,,"Idera Pharmaceuticals, Inc.",,-47.68M,36,45.92M,1.9568, ,,18.24%,27.53%,505 Eagleview Boulevard Suite 212,Biotechnology,79.41M, ,0.00%,-60.30%,-132.27%,1.45M,,Healthcare,IDRA,33.49M,1.02M,, ,1.7424
514.53k,0,"IDEXX Laboratories, Inc.",5.4,667.29M,"9,000",31.83B,331.15,74.07,12.4,1.25%,90.70%,"One IDEXX Drive Westbrook, ME 04092",Diagnostics & Research,30.65B,8.77,17.78%,20.23%,546.43%,2.46B,10.4,Healthcare,IDXX,81.39M,1.27B,28,72.02,284.30
55.95k,,IEC Electronics Corp.,,12.95M,866,130.97M,9.06, ,,4.44%,45.53%,"105 Norton Street Newark, NY 14513",Electronic Components,93.89M, ,3.30%,5.72%,18.35%,173.15M,,Technology,IEC,N/A,37.08M,,16.59,7.95
41.1k,,"IES Holdings, Inc.",,55.73M,"5,389",504.09M,22.36, ,,4.08%,81.46%,5433 Westheimer Road Suite 500,Engineering & Construction,495.44M, ,3.11%,6.02%,14.55%,1.14B,,Industrials,IESC,43.8M,64.49M,,14.16,22.05
1.11k,,"IF Bancorp, Inc.",,N/A,101, ,17.13, ,,33.75%,22.05%,"201 East Cherry Street Watseka, IL 60970",Banks—Regional,52.56M, ,17.48%,0.58%,4.90%,22.36M,,Financial Services,IROQ,9.88M,61.9M,,13.52,18.47
501.06k,,iFresh Inc.,,-6.47M,233,111.10M,1.0821, ,,44.26%,0.79%,"2-39 54th Avenue Long Island City, NY 11101",Grocery Stores,24.49M, ,-10.56%,-7.27%,"-1,738.73%",99.34M,,Consumer Defensive,IFMK,652.64k,87.26M,, ,0.9689
92.62k,,"IGM Biosciences, Inc.",,-55.01M,77,1.58B,66.38, ,,45.05%,53.54%,"325 East Middlefield Road Mountain View, CA 94043",Biotechnology,1.78B, ,0.00%,N/A,-48.64%,N/A,,Healthcare,IGMS,206.77M,14.12M,, ,54.50
1.22M,,"iHeartMedia, Inc.",,850.18M,"11,400",6.75B,8.63,7.69,,2.69%,166.49%,"20880 Stone Oak Parkway San Antonio, TX 78258",Broadcasting,577.89M, ,265.03%,2.59%,N/A,3.67B,,Communication Services,IHRT,646.77M,6.88B,,11.22,10.62
2M,1,IHS Markit Ltd.,0.1,1.5B,"15,500",37.29B,74.94,28.82,8.1,6.96%,99.08%,Ropemaker Place 4th Floor 25 Ropemaker Street,Consulting Services,31.72B,2.27,18.43%,3.56%,9.64%,4.34B,15.9,Industrials,INFO,207.8M,5.78B,24,40.38,70.77
2.12M,,II-VI Incorporated,,333.96M,"12,487",5.02B,46.72,14.51,,4.47%,92.13%,"375 Saxonburg Boulevard Saxonburg, PA 16056",Scientific & Technical Instruments,4.75B, ,-4.52%,2.88%,-5.76%,2B,,Technology,IIVI,388.11M,2.42B,,40.08,37.19
14.65k,,IKONICS Corporation,,-538.23k,82,7.69M,3.6147, ,,48.56%,1.24%,"4832 Grand Avenue Duluth, MN 55807",Specialty Chemicals,7.49M, ,-5.38%,-4.66%,-7.77%,17.59M,,Basic Materials,IKNX,2.59M,2.79M,, ,4.1172
926.42k,1,"Illumina, Inc.",1.2,1.2B,"7,700",55.37B,368.75,64.94,6.3,0.34%,96.21%,"5200 Illumina Way San Diego, CA 92122",Diagnostics & Research,56.81B,5.00,26.49%,8.64%,21.48%,3.56B,3.6,Healthcare,ILMN,3.33B,1.89B,11,60.95,317.38
59.67k,,I-Mab,,N/A,185,1.73B,29.29, ,,0.99%,0.92%,"West Tower, OmniVision Suite 802 88 Shangke Road Pudong District",Biotechnology,1.73B, ,0.00%,-44.52%,-95.85%,N/A,,Healthcare,IMAB,N/A,N/A,, ,18.73
87.89k,,IMARA Inc.,,N/A,16,241.47M,32.03, ,,24.20%,46.39%,116 Huntington Avenue 6th Floor,Biotechnology,347.34M, ,0.00%,N/A,-47.69%,N/A,,Healthcare,IMRA,105.87M,N/A,, ,25.25
51.33k,,"iMedia Brands, Inc.",,-15.44M,861,76.56M,3.4209, ,,28.65%,12.85%,"6740 Shady Oak Road Eden Prairie, MN 55344",Internet Retail,33.98M, ,-9.04%,-7.96%,-129.96%,466.14M,,Consumer Cyclical,IMBI,16.2M,59.32M,, ,2.8993
407.01k,,Immersion Corporation,,-11.55M,56,97.78M,6.23, ,,1.82%,88.35%,330 Townsend Street Suite 234,Software—Application,172.59M, ,-37.36%,-6.93%,-17.46%,37.09M,,Technology,IMMR,76.23M,4.08M,, ,6.58
31.82k,,ImmuCell Corporation,,1.24M,48,45.35M,5.17, ,,28.40%,20.36%,"56 Evergreen Drive Portland, ME 04103",Biotechnology,42.48M, ,-10.98%,-1.59%,-5.28%,14.22M,,Healthcare,ICCC,7M,9.87M,, ,4.77
2.42M,,"ImmunoGen, Inc.",,-49.28M,75,547.98M,4.5562, ,,1.11%,76.61%,"830 Winter Street Waltham, MA 02451",Biotechnology,769.13M, ,-102.87%,-10.57%,N/A,86.97M,,Healthcare,IMGN,247.3M,26.15M,, ,4.3297
3.7M,,"Immunomedics, Inc.",,-323.18M,366,9.50B,37.49, ,,0.14%,81.31%,"300 The American Road Morris Plains, NJ 07950",Biotechnology,9.75B, ,0.00%,-37.91%,-197.97%,295k,,Healthcare,IMMU,540.62M,10.22M,, ,25.40
431.12k,,"Immunovant, Inc.",,-63.76M,42,2.01B,25.53, ,,73.18%,21.10%,"320 West 37th Street New York, NY 10018",Biotechnology,2.11B, ,0.00%,-64.70%,-130.93%,N/A,,Healthcare,IMVT,100.57M,2.9M,, ,19.09
3.42M,,Immuron Limited,,N/A,,63.03M,8.65, ,,0.00%,2.97%,62 Lygon Street Level 3 Carlton South,Biotechnology,66.42M, ,-153.11%,-35.71%,-64.75%,N/A,,Healthcare,IMRN,N/A,N/A,, ,4.15
317.61k,,"Impinj, Inc.",,-13.3M,272,637.03M,28.24,2.00k,,6.17%,88.03%,400 Fairview Avenue North Suite 1200,Communication Equipment,683.03M, ,-12.08%,-6.01%,-18.04%,167.6M,,Technology,PI,119.22M,73.22M,, ,25.63
1.67M,,IMV Inc.,,N/A,62,311.50M,3.49, ,,7.80%,19.53%,130 Eileen Stubbs Avenue Suite 19,Biotechnology,309.43M, ,0.00%,-65.65%,-265.73%,N/A,,Healthcare,IMV,N/A,N/A,, ,3.05
523.82k,,"Inari Medical, Inc.",,7.15M,240,2.57B,50.10, ,,N/A,N/A,9 Parker Suite 100,Medical Devices,2.57B, ,5.44%,N/A,N/A,71.14M,,Healthcare,NARI,32.37M,29.53M,,629.98,49.33
1.54M,1,Incyte Corporation,0,-262.56M,"1,456",22.60B,102.00,37.88,7,0.66%,92.40%,"1801 Augustine Cut-Off Wilmington, DE 19803",Biotechnology,23.84B,1.48,-16.87%,-7.20%,-18.69%,2.23B,20,Healthcare,INCY,1.3B,71.56M,28,38.35,88.56
120.52k,,Independent Bank Corporation,,N/A,848, ,14.01,10.17,,4.31%,91.07%,"4200 East Beltline Grand Rapids, MI 49525",Banks—Regional,294.00M, ,25.46%,1.19%,12.31%,164.43M,,Financial Services,IBCP,87.9M,164.72M,,7.38,16.02
959.06k,,"Independent Bank Group, Inc.",,N/A,"1,469", ,40.34, ,,15.61%,66.38%,"7777 Henneman Way McKinney, TX 75070-1711",Banks—Regional,1.83B, ,35.51%,1.34%,8.65%,562.52M,,Financial Services,IBTX,954.63M,1.23B,,9.18,38.74
3.37M,,Infinera Corporation,,-92.84M,"3,302",1.82B,6.09, ,,2.33%,92.18%,"140 Caspian Court Sunnyvale, CA 94089",Communication Equipment,1.46B, ,-27.26%,-7.90%,-74.42%,1.34B,,Technology,INFN,261.53M,623.52M,, ,6.15
561.54k,,"Infinity Pharmaceuticals, Inc.",,-42.05M,25,49.88M,0.9009, ,,3.51%,50.64%,1100 Massachusetts Avenue Floor 4,Biotechnology,48.82M, ,0.00%,-40.18%,-237.93%,1.33M,,Healthcare,INFI,50.35M,2.17M,, ,1.0336
1.02M,,InflaRx N.V.,,N/A,43,5.24M,5.3900, ,,33.78%,20.00%,Winzerlaer Str. 2 Jena 07745,Biotechnology,128.99M, ,0.00%,-25.89%,-41.74%,N/A,,Healthcare,IFRX,N/A,N/A,, ,5.1295
70.86k,,"Infrastructure and Energy Alternatives, Inc.",,110.49M,"2,650",480.11M,3.3974, ,,8.72%,65.88%,6325 Digital Way Suite 460,Engineering & Construction,83.50M, ,1.05%,6.26%,N/A,1.63B,,Industrials,IEA,58.08M,437.21M,, ,2.7244
110.96k,,"Ingles Markets, Incorporated",,293.55M,"10,260",1.57B,40.98,9.03,,0.33%,97.40%,"PO Box 6676 Asheville, NC 28816",Grocery Stores,829.44M,0.89,2.35%,5.89%,15.38%,4.36B,,Consumer Defensive,IMKTA,144.97M,884.68M,,8.09,39.93
901.15k,,InMode Ltd.,,56.02M,251,966.65M,30.73,29.07,,43.97%,26.14%,Tavor Building Sha'ar Yokneam PO Box 533,Medical Devices,1.17B, ,34.56%,22.11%,45.55%,166.25M,,Healthcare,INMD,201.71M,709k,,20.28,30.84
1.04M,,"InnerWorkings, Inc.",,38.13M,"2,100",310.98M,1.6771,19.84,,21.89%,84.21%,203 North LaSalle Street Suite 1800,Advertising Agencies,147.11M,0.60,-0.94%,3.36%,-6.14%,1.15B,,Communication Services,INWK,30.77M,194.65M,, ,2.2873
53.16k,,Innodata Inc.,,2.9M,"3,599",31.48M,1.3929, ,,10.22%,20.51%,55 Challenger Road Suite 202,Information Technology Services,34.98M, ,-2.67%,0.56%,-6.23%,56.69M,,Technology,INOD,10.74M,7.36M,, ,1.1635
115k,,Innospec Inc.,,213.1M,"2,000",1.97B,76.84, ,,1.36%,95.68%,8310 South Valley Highway Suite 350,Specialty Chemicals,1.94B, ,7.79%,6.96%,13.01%,1.5B,,Basic Materials,IOSP,68.1M,91.7M,,16.79,80.98
337.62k,,"Inogen, Inc.",,28.09M,"1,020",529.75M,35.38, ,,1.23%,107.23%,"326 Bollay Drive Goleta, CA 93117",Medical Devices,727.13M, ,3.90%,1.86%,4.20%,360.23M,,Healthcare,INGN,208.36M,10.98M,,52.35,43.26
39.07M,,"Inovio Pharmaceuticals, Inc.",,-101.49M,190,3.71B,21.29, ,,2.69%,29.41%,660 West Germantown Pike Suite 110,Biotechnology,3.89B, ,0.00%,-24.97%,-92.55%,2.61M,,Healthcare,INO,270M,98.52M,, ,11.29
8.59M,,Inpixon,,-16.43M,106,59.31M,1.4726, ,,0.31%,2.25%,2479 East Bayshore Road Suite 195,Software—Application,54.99M, ,0.00%,-61.94%,-388.39%,6.74M,,Technology,INPX,6.11M,10.43M,,0.09,1.8874
4.3M,,Inseego Corp.,,-9.38M,938,1.17B,10.88,588.24,,0.63%,45.82%,9605 Scranton Road Suite 300,Communication Equipment,1.11B,28.62,-22.32%,-8.82%,N/A,227.78M,,Technology,INSG,30.54M,96.87M,, ,9.23
269.24k,,"Insight Enterprises, Inc.",,311.16M,"11,261",2.44B,48.60, ,,1.91%,105.61%,"6820 South Harl Avenue Tempe, AZ 85283",Information Technology Services,1.76B, ,1.88%,4.70%,14.15%,8.19B,,Technology,NSIT,62.66M,1.1B,,11.68,52.27
1.11M,,Insmed Incorporated,,-220.06M,435,2.61B,27.62, ,,1.26%,98.28%,"700 US Highway 202/206 Bridgewater, NJ 08807-1704",Biotechnology,2.64B, ,-162.82%,-22.21%,-140.55%,151.42M,,Healthcare,INSM,428.94M,398.96M,, ,24.14
302.51k,,"Inspired Entertainment, Inc.",,27.16M,"1,700",321.73M,3.1206, ,,7.37%,82.72%,250 West 57th Street 22nd Floor,Electronic Gaming & Multimedia,78.73M, ,-15.04%,1.10%,N/A,140.73M,,Communication Services,INSE,48.5M,292.8M,, ,3.9020
93.77k,,"Insteel Industries, Inc.",,26.31M,834,322.01M,18.64, ,,5.14%,82.15%,"1373 Boggs Drive Mount Airy, NC 27030",Metal Fabrication,383.38M, ,2.19%,2.38%,3.88%,447.79M,,Industrials,IIIN,61.37M,1.82M,,39.03,18.36
554.45k,,Insulet Corporation,,81.9M,"1,350",13.78B,195.52,454.55,,0.92%,108.10%,"100 Nagog Park Acton, MA 01720",Medical Devices,13.20B,3.82,0.66%,3.05%,3.61%,776.6M,,Healthcare,PODD,321.6M,899M,,2.24k,189.19
10.96M,,Intec Pharma Ltd.,,-25.51M,38,21.16M,0.3450, ,,10.19%,17.02%,RMPE building 12 Hartom Street Har Hotzvim PO Box 45219,Biotechnology,30.88M, ,0.00%,-42.80%,-139.99%,N/A,,Healthcare,NTEC,10.89M,1.17M,, ,0.3057
531.05k,,Integra LifeSciences Holdings Corporation,,358.57M,"4,000",5.51B,48.40,25.32,,16.20%,86.54%,"1100 Campus Road Princeton, NJ 08540",Medical Devices,4.17B,2.11,1.76%,4.64%,1.94%,1.51B,,Healthcare,IART,357.71M,1.79B,,158.68,50.28
25.13M,3,Intel Corporation,4.2,38.12B,110,274.85B,59.57,13.35,6.3,0.05%,69.04%,"2200 Mission College Boulevard Santa Clara, CA 95054-1549",Semiconductors,255.73B,1.99,29.97%,11.63%,30.15%,78.96B,5.1,Technology,INTC,25.81B,38.35B,15,11.73,59.40
1M,,"Intellia Therapeutics, Inc.",,-109.78M,270,926.55M,21.45, ,,19.02%,76.41%,40 Erie Street Suite 130,Biotechnology,1.15B, ,-239.98%,-21.92%,-42.73%,45.59M,,Healthcare,NTLA,250.26M,24.36M,, ,16.11
165.38k,,"Inter Parfums, Inc.",,98.03M,402,1.24B,45.95,58.14,,44.18%,55.65%,551 Fifth Avenue Suite 1500,Household & Personal Products,1.39B, ,7.56%,6.94%,10.75%,680.1M,,Consumer Defensive,IPAR,204.1M,45.15M,,27.30,52.10
761.86k,,"Interactive Brokers Group, Inc.",,N/A,"1,643", ,45.61,22.99,,3.07%,91.76%,"One Pickwick Plaza Greenwich, CT 06830",Capital Markets,20.76B, ,7.53%,1.40%,13.25%,2.1B,,Financial Services,IBKR,56.34B,5.99B,,24.62,45.48
998.24k,,"Intercept Pharmaceuticals, Inc.",,-308.5M,583,1.50B,60.35, ,,21.51%,80.27%,10 Hudson Yards 37th floor,Biotechnology,1.50B, ,-127.53%,-35.43%,N/A,272.4M,,Healthcare,ICPT,549.04M,553.73M,, ,77.93
254.44k,,"InterDigital, Inc.",,120.21M,487,1.40B,56.74,24.94,,1.42%,77.91%,200 Bellevue Parkway Suite 300,Telecom Services,1.83B,1.66,7.30%,1.81%,2.19%,326.5M,,Communication Services,IDCC,780.9M,354.82M,,78.75,53.43
274.94k,,International Bancshares Corporation,,N/A,"2,869", ,30.73, ,,16.42%,64.06%,"1200 San Bernardo Avenue Laredo, TX 78042",Banks—Regional,2.00B, ,34.03%,1.53%,9.11%,552.62M,,Financial Services,IBOC,354.71M,1.13B,,11.06,31.71
345.85k,,"Interpace Biosciences, Inc.",,-22.23M,176,61.22M,5.36, ,,1.21%,17.18%,Morris Corporate Center 1 Building C 300 Interpace Parkway,Diagnostics & Research,24.06M, ,-119.56%,-25.19%,-72.93%,27.27M,,Healthcare,IDXG,13.37M,4.08M,, ,6.14
10.44k,,Interstate Power and Light Company,,750.1M,"1,418", ,25.31, ,,0.00%,35.61%,"Alliant Energy Tower Cedar Rapids, IA 52401",Utilities—Regulated Electric,, ,15.76%,2.87%,9.33%,2.05B,,Utilities,IPLDP,25M,3.15B,, ,25.10
120.71k,,"Intevac, Inc.",,8.24M,258,103.91M,5.42,15.85,,2.92%,69.07%,"3560 Bassett Street Santa Clara, CA 95054",Aerospace & Defense,130.36M, ,2.25%,2.43%,2.51%,102.9M,,Industrials,IVAC,37.89M,11.43M,,55.50,5.50
879.07k,,"Intra-Cellular Therapies, Inc.",,-165.88M,330,993.36M,23.59, ,,6.07%,69.59%,430 East 29th Street Suite 900,Biotechnology,1.42B, ,0.00%,-25.24%,-44.58%,1.14M,,Healthcare,ITCI,448.95M,22.93M,, ,20.97
47.16k,,IntriCon Corporation,,2.07M,780,80.21M,13.09, ,,7.43%,74.99%,"1260 Red Fox Road Arden Hills, MN 55112",Medical Instruments & Supplies,108.07M, ,-6.20%,-0.71%,-5.51%,105.43M,,Healthcare,IIN,32.07M,4.21M,,37.68,13.94
1.25M,1,Intuit Inc.,1.1,1.74B,"9,400",72.72B,293.43,36.10,5.7,3.49%,89.81%,"2700 Coast Avenue Mountain View, CA 94043",Software—Application,76.03B,2.57,19.50%,13.11%,30.35%,6.86B,11.3,Technology,INTU,3.97B,663M,18,57.50,275.94
664.95k,2,"Intuitive Surgical, Inc.",5.0,1.37B,"7,326",73.38B,593.04,69.44,11.0,0.96%,91.32%,"1020 Kifer Road Sunnyvale, CA 94086",Medical Instruments & Supplies,79.46B,6.40,26.07%,7.56%,14.31%,4.36B,14.2,Healthcare,ISRG,4.49B,N/A,30,71.72,550.82
463.22k,,Inventiva S.A.,,N/A,84,387.87M,11.17, ,,N/A,N/A,50 rue de Dijon Daix 21121,Biotechnology,429.19M, ,-273.75%,N/A,-49.21%,N/A,,Healthcare,IVA,N/A,N/A,, ,11.17
30.95k,,Investar Holding Corporation,,N/A,336, ,14.06,13.48,,7.36%,60.48%,"10500 Coursey Boulevard Baton Rouge, LA 70816",Banks—Regional,151.94M, ,18.47%,0.59%,5.82%,69.68M,,Financial Services,ISTR,130.96M,212.18M,,10.60,15.93
34.86k,,"Investcorp Credit Management BDC, Inc.",,N/A,,235.14M,3.6607, ,,1.75%,61.28%,399 Park Avenue 39th Floor,Asset Management,47.49M, ,-78.46%,4.83%,-20.71%,34.94M,,Financial Services,ICMB,11.02M,183.33M,, ,4.6903
1.67M,,"Investors Bancorp, Inc.",,N/A,"1,740", ,8.38,15.53,,8.62%,72.79%,"101 JFK Parkway Short Hills, NJ 07078",Banks—Regional,2.14B, ,26.87%,0.70%,6.73%,695.33M,,Financial Services,ISBC,705.05M,5.65B,,11.70,9.34
7.66k,,Investors Title Company,,25.22M,340,209.76M,121.96, ,,31.98%,47.82%,"121 North Columbia Street Chapel Hill, NC 27514",Insurance—Specialty,230.74M, ,10.28%,5.65%,9.73%,173.41M,,Financial Services,ITIC,40.97M,4.34M,,12.99,136.08
472.18k,,InVivo Therapeutics Holdings Corp.,,-11.1M,6,149.73k,1.6265, ,,0.31%,16.41%,One Kendall Square Suite B14402,Biotechnology,8.10M, ,0.00%,-47.39%,-100.49%,N/A,,Healthcare,NVIV,9.2M,1.25M,,1.07,3.2180
803.06k,0,"Ionis Pharmaceuticals, Inc.",0.2,200.05M,817,6.92B,59.84,70.42,8.9,5.01%,87.93%,"2855 Gazelle Court Carlsbad, CA 92010",Biotechnology,8.51B,146.34,16.84%,3.91%,10.41%,958.75M,22.4,Healthcare,IONS,2.39B,798.79M,31,55.00,56.20
2.08M,,"Iovance Biotherapeutics, Inc.",,-236.55M,148,4.24B,29.57, ,,0.64%,104.88%,999 Skyway Road Suite 150,Biotechnology,4.48B, ,0.00%,-39.63%,-67.88%,N/A,,Healthcare,IOVA,245.65M,9.52M,, ,29.80
377.88k,0,IPG Photonics Corporation,3.4,343.74M,"5,960",8.29B,164.58,68.49,6.1,33.81%,68.32%,"50 Old Webster Road Oxford, MA 01540",Semiconductor Equipment & Materials,9.44B, ,12.93%,5.80%,7.01%,1.25B,4.1,Technology,IPGP,1.2B,45.74M,14,59.12,140.34
9.21M,,"iQIYI, Inc.",,N/A,"8,889",17.84B,22.24, ,,2.48%,58.73%,"iQIYI Innovation Building 9th Floor No. 2, Haidian North First Street Haidian District",Internet Content & Information,16.62B, ,-38.40%,-12.51%,-94.35%,N/A,,Communication Services,IQ,N/A,N/A,, ,20.69
52.28k,,IRadimed Corporation,,9.07M,114,241.67M,23.62,46.51,,50.52%,33.19%,"1025 Willa Springs Drive Winter Springs, FL 32708",Medical Devices,286.19M, ,24.65%,8.01%,18.60%,38.76M,,Healthcare,IRMD,47.42M,2.9M,,30.84,22.74
367.45k,,"iRhythm Technologies, Inc.",,-51.35M,997,3.35B,117.16, ,,0.94%,124.02%,699 8th Street Suite 600,Medical Instruments & Supplies,3.34B, ,-24.10%,-17.41%,-63.40%,229.75M,,Healthcare,IRTC,121.77M,128.06M,, ,99.96
28.79k,,IRIDEX Corporation,,-6.95M,94,19.99M,2.1382, ,,14.02%,48.06%,"1212 Terra Bella Avenue Mountain View, CA 94043",Medical Devices,28.27M, ,-17.71%,-13.26%,-30.52%,41.87M,,Healthcare,IRIX,11.14M,2.87M,, ,2.2125
788.7k,,Iridium Communications Inc.,,324.31M,497,5.06B,26.09, ,,12.48%,84.86%,1750 Tysons Boulevard Suite 1400,Telecom Services,3.50B, ,-30.71%,0.40%,-11.71%,572.05M,,Communication Services,IRDM,67.29M,1.64B,, ,24.88
949.73k,,iRobot Corporation,,144.7M,"1,120",1.88B,82.33,39.53,,2.61%,107.35%,"8 Crosby Drive Bedford, MA 01730",Consumer Electronics,2.07B, ,8.08%,7.93%,15.23%,1.19B,,Technology,IRBT,242.29M,52.82M,,22.04,60.48
2.14M,,"Ironwood Pharmaceuticals, Inc.",,155.38M,317,1.78B,9.99,21.64,,3.20%,114.72%,100 Summer Street Suite 2300,Drug Manufacturers—Specialty & Generic,1.58B, ,19.14%,24.40%,N/A,439.63M,,Healthcare,IRWD,231.14M,436.93M,,18.32,10.80
15.91k,,IRSA Propiedades Comerciales S.A.,,N/A,,744.57M,6.78,31.25,,0.01%,9.07%,Moreno 877 23rd Floor,Real Estate Services,359.89M, ,-143.05%,2.84%,-25.88%,N/A,,Real Estate,IRCP,N/A,N/A,, ,8.64
16.96k,,Itamar Medical Ltd.,,-5.02M,184,289.58M,20.85, ,,4.06%,22.91%,9 Halamish Street North Industrial Zone PO Box 3579,Medical Devices,332.71M, ,-18.17%,-6.86%,-17.11%,33.58M,,Healthcare,ITMR,50.44M,7.31M,, ,15.69
2.35M,,"Iteos Therapeutics, Inc.",,-28.81M,43, ,19.05, ,,N/A,N/A,"139 Main Street Cambridge, MA 02142",Biotechnology,, ,0.00%,N/A,N/A,N/A,,Healthcare,ITOS,147.73M,N/A,, ,19.05
